Wall time,Step,Value
1524671440.9083507,8464,2.1692793369293213
1524671463.7102563,8479,2.1857974529266357
1524671486.7903032,8494,2.193211078643799
1524671508.7793956,8509,2.1546735763549805
1524671531.386895,8524,2.1167471408843994
1524671553.69491,8539,2.0562217235565186
1524671567.927542,8545,2.111023187637329
1524671590.2090585,8560,2.0461130142211914
1524671613.2785125,8575,2.033884048461914
1524671635.7069097,8590,2.198105573654175
1524671659.0190268,8605,2.0872249603271484
1524671681.2902071,8620,2.2869975566864014
1524671704.1294048,8635,2.1931562423706055
1524671717.9231417,8641,2.146962881088257
1524671741.0179904,8656,2.059795618057251
1524671762.9449103,8671,2.017489433288574
1524671786.0718973,8686,2.16377329826355
1524671808.503916,8701,2.160829544067383
1524671831.436706,8716,2.1469876766204834
1524671853.7512362,8731,2.0562872886657715
1524671868.4472764,8737,2.081210136413574
1524671891.5886161,8752,2.1728594303131104
1524671913.991143,8767,2.2466416358947754
1524671937.1121314,8782,2.116929054260254
1524671959.3477304,8797,2.08662748336792
1524671982.32286,8812,2.187039613723755
1524672004.5587256,8827,2.1036462783813477
1524672019.1586325,8833,2.0913894176483154
1524672041.6091502,8848,2.124199151992798
1524672064.752373,8863,2.082514762878418
1524672086.9283087,8878,2.10911226272583
1524672109.8010974,8893,2.0807154178619385
1524672131.9722695,8908,2.1426589488983154
1524672154.8446708,8923,2.194237470626831
1524672168.6833973,8929,2.0559587478637695
1524672190.5981448,8944,2.150144100189209
1524672213.48597,8959,2.1742188930511475
1524672236.0572476,8974,2.053793430328369
1524672259.3224845,8989,2.113886833190918
1524672281.6574006,9004,2.0644452571868896
1524672304.2407174,9019,2.1752333641052246
1524672318.1835005,9025,2.122417449951172
1524672341.5783854,9040,2.1425092220306396
1524672364.6412575,9055,2.003545045852661
1524672386.8902016,9070,2.088108777999878
1524672409.9189043,9085,2.0253546237945557
1524672431.880039,9100,2.1134865283966064
1524672454.7796426,9115,2.2458088397979736
1524672468.4119027,9121,2.1394102573394775
1524672491.3453689,9136,2.052093029022217
1524672513.6119206,9151,2.040139675140381
1524672536.6479099,9166,2.0936663150787354
1524672559.230779,9181,2.1289796829223633
1524672581.9594874,9196,2.136728048324585
1524672604.449944,9211,2.3013803958892822
1524672618.7283785,9217,2.0100209712982178
1524672641.0668209,9232,2.131354808807373
1524672663.888499,9247,2.1105432510375977
1524672685.941281,9262,2.2618422508239746
1524672708.9917235,9277,2.1866295337677
1524672731.2192795,9292,2.071678400039673
1524672753.4807975,9307,2.156663179397583
1524672768.1606643,9313,2.0913407802581787
1524672791.2032585,9328,2.0821938514709473
1524672813.9131706,9343,2.1282427310943604
1524672837.052193,9358,2.0911946296691895
1524672859.5490086,9373,2.1018574237823486
1524672882.3418589,9388,2.119135856628418
